director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Sushen Bhatnagar,Divya Dutta,Ashutosh Rana,unknown,Drama,monica,Divya Dutta Ashutosh Rana unknown Sushen Bhatnagar Drama
Abhinay Deo,Abhishek Bachchan,Kangana Ranaut,Sarah Jane Dias,Mystery/Action,game,Abhishek Bachchan Kangana Ranaut Sarah Jane Dias Abhinay Deo Mystery/Action
Remo D'souza,Jackky Bhagnani,Puja Gupta,Arshad Warsi,Satire/Comedy/Teen film,f.a.l.t.u,Jackky Bhagnani Puja Gupta Arshad Warsi Remo D'souza Satire/Comedy/Teen film
Sanjoy Nag,Deepti Naval,Rituparno Ghosh,Raima Sen,Drama,memories in march,Deepti Naval Rituparno Ghosh Raima Sen Sanjoy Nag Drama
Anees Bazmee,Akshay Kumar,Bobby Deol,Sunil Shetty,Comedy,thank you,Akshay Kumar Bobby Deol Sunil Shetty Anees Bazmee Comedy
Mirgdeep Singh Lamba,Om Puri,Shreyas Talpade,Deepak Dobriyal,Drama,teen thay bhai,Om Puri Shreyas Talpade Deepak Dobriyal Mirgdeep Singh Lamba Drama
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik Babbar,Thriller,dum maaro dum,Abhishek Bachchan Bipasha Basu Prateik Babbar Rohan Sippy Thriller
Satyajit Bhatkal,Darsheel Safary,Anupam Kher,Manjari Phadnis,Superhero/Children,zokkomon,Darsheel Safary Anupam Kher Manjari Phadnis Satyajit Bhatkal Superhero/Children
"Raj Nidimoru, Krishna Dk",Tusshar Kapoor,Preeti Desai,Alok Chaturvedi,Drama/Cult,shor in the city,"Tusshar Kapoor Preeti Desai Alok Chaturvedi Raj Nidimoru, Krishna Dk Drama/Cult"
Shashant Shah,Lara Dutta,Vinay Pathak,Akshay Kumar,Comedy Road movie,chalo dilli,Lara Dutta Vinay Pathak Akshay Kumar Shashant Shah Comedy Road movie
Onir,Sanjay Suri,Radhika Apte,Shernaz Patel,Social/Drama,i am,Sanjay Suri Radhika Apte Shernaz Patel Onir Social/Drama
Jagmohan Mundhra,Govinda,Yuvika Chaudhary,Anupam Kher,Comedy,naughty @ 40,Govinda Yuvika Chaudhary Anupam Kher Jagmohan Mundhra Comedy
Bumpy,Shraddha Kapoor,Taaha Shah,unknown,Teen/Comedy,luv ka the end,Shraddha Kapoor Taaha Shah unknown Bumpy Teen/Comedy
Vikram Bhatt,Mahakshay Chakraborty,Twinkle Bajpai,Achint Kaur,Horror,haunted – 3d,Mahakshay Chakraborty Twinkle Bajpai Achint Kaur Vikram Bhatt Horror
S. Manasvi,Tusshar Kapoor,Amrita Rao,unknown,Romance/Comedy,love u...mr. kalakaar!,Tusshar Kapoor Amrita Rao unknown S. Manasvi Romance/Comedy
Pawan Kripalani,Kainaz Motivala,Rajkummar Rao,unknown,Horror/Romance,ragini mms,Kainaz Motivala Rajkummar Rao unknown Pawan Kripalani Horror/Romance
Tigmanshu Dhulia,Nana Patekar,Zakir Hussain,Mohit Ahlawat,Action/Drama,shagird,Nana Patekar Zakir Hussain Mohit Ahlawat Tigmanshu Dhulia Action/Drama
Amole Gupte,Partho,Divya Dutta,unknown,Children,stanley ka dabba,Partho Divya Dutta unknown Amole Gupte Children
Prawaal Raman,Rajvvir Aroraa,Imaad Shah,Nishikant Kamat,Psychological thriller,404,Rajvvir Aroraa Imaad Shah Nishikant Kamat Prawaal Raman Psychological thriller
Anil Goyal,Nikhil Dwivedi,Smilie Suri,unknown,Animation,crackers,Nikhil Dwivedi Smilie Suri unknown Anil Goyal Animation
Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma,Romance/Comedy,pyaar ka punchnama,Kartik Aaryan Raayo S. Bakhirta Divyendu Sharma Luv Ranjan Romance/Comedy
Barnali Ray Shukla,Rahul Bose,Shefali Shah,unknown,Drama/Comedy,kucch luv jaisaa,Rahul Bose Shefali Shah unknown Barnali Ray Shukla Drama/Comedy
Anees Bazmee,Salman Khan,Asin,Paresh Rawal,Comedy,ready,Salman Khan Asin Paresh Rawal Anees Bazmee Comedy
Bijoy Nambiar,Rajeev Khandelwal,Kalki Koechlin,Shiv Panditt,Drama/Thriller,shaitan,Rajeev Khandelwal Kalki Koechlin Shiv Panditt Bijoy Nambiar Drama/Thriller
Sagar Ballary,Vinay Pathak,Minissha Lamba,Kay Kay Menon,Comedy,bheja fry 2,Vinay Pathak Minissha Lamba Kay Kay Menon Sagar Ballary Comedy
